Ref. SR Number,SR Number,Email Subject,AI Categorization,Is the AI Categorization  Correct?,"If NO, what should be the Correct Category?",AI Sub-categorization,Is the AI Sub-categorization Correct?,"If NO, what should be the Correct Sub-category?",AI Technician Group,Is the Group Routing Correct?,"If NO, what should be the Correct Technician Group?",Is the Initial Notes Accurate?,Initial Notes,Is the Priority Level correct?,"If NO, what should be the Correct Priority Level?",Pass/Fail,
SR-834658,SR-836704,Solara NT Account Inquiry,IT,No,User Account,Account Management,No,NT Login Creation,IT Team,No,NOC Systems,No,The request is for the creation of 2 NT accounts for Solara employees transitioning to onsite working setup. The accounts are needed for audit requirements and specific configurations. The IT Team should review the request and proceed with creating the necessary accounts with the specified settings,No,P3 - Planned,Fail,
,SR-836921,Solara NT Account Inquiry,Development,No,User Account,OSP,No,NT Login Creation,Dev Team,No,NOC Systems,No,"The request is regarding the creation of 2 NT accounts for Solara employees transitioning to onsite working setup.
The accounts are needed for audit requirements and specific configurations.
The priority for this request is set to P3 - Planned, and it has been assigned to the Dev Team for further action.",No,P3 - Planned,Fail,
SR-834680,SR-836705,PICA 20TH (TS): Returned Asset of Sir Peter Fernandez,Asset Management,No,Off Boarding,Returned Asset,No,Item Retrieval,Asset Team,No,"Asset Management
On-site Support",Yes,The IT asset from Sir Peter Fernandez has been returned and needs to be processed by the Asset Team. Please verify the details provided and update the asset records accordingly.,No,P3 - Planned,Fail,
,SR-836922,PICA 20TH (TS): Returned Asset of Sir Peter Fernandez,Asset Management,No,Off Boarding,N/A,No,Item Retrieval,Asset Team,No,Asset Management,Yes,"The IT asset from Sir Peter Fernandez has been returned and needs to be properly documented by the Asset team.
Please ensure that the Dell Latitude 3310 and JABRA EVOLVE 20 MS HEADSET are accounted for in the asset inventory.",No,P3 - Planned,Fail,
SR-834702,SR-836706,Cyber Sigma (TS): Request for Goo Gone and Wipe Out Cleaners,IT Procurement,No,TPMO,Cleaning Supplies,No,General IT Services,IT Procurement Team,No,Technical Project Management,No,"The IT Procurement team has been requested to provide one (1) Goo Gone and one (1) Wipe Out cleaners for cleaning IT assets at Cyber Sigma. This falls under the Cleaning Supplies sub-category of IT Procurement. The priority for this request is Planned (P3), indicating that it can be scheduled and addressed in due time.",No,P4 - Project,Fail,
,SR-836925,Cyber Sigma (TS): Request for Goo Gone and Wipe Out Cleaners,N/A,No,TPMO,N/A,No,General IT Services,IT Procurement Team,No,Technical Project Management,No,"The request is for Goo Gone and Wipe Out cleaners for Cyber Sigma.
The IT Procurement team should handle this request and provide the requested cleaning supplies for the IT assets at the specified location.
",No,P4 - Project,Fail,
SR-834726,SR-836707,KMC IT x EXL (IT related discussion),Development,No,TPMO,OSP,No,General IT Services,Dev Team,No,Technical Project Management,No,"The ticket falls under the Development category, specifically related to OSP. The priority level is set to P3 - Planned, indicating that this discussion is part of planned IT activities. The ticket has been assigned to the Dev Team for further handling.",Yes,-,Fail,
,SR-836926,KMC IT x EXL (IT related discussion),Development,No,TPMO,OSP,No,General IT Services,Dev Team,No,Technical Project Management,No,"The issue reported seems to be related to the Outage Notification feature in the OSP system.
The priority for this request is set to Planned (P3) as it requires attention but is not critical.
The Dev Team is assigned to address this issue.
",Yes,-,Fail,
SR-834744,SR-836708,CEBU Lexmark 2F(EY GDS)Printer Procurement,Development,No,TPMO,OSP,No,Hardware Purchase,Dev Team,No,Technical Project Management,No,The issue reported by the NOC engineers regarding the outage notification not being generated properly needs to be addressed promptly. The Dev Team should investigate the root cause of this issue and implement a fix to ensure smooth operation.,No,P3 - Planned,Fail,
,SR-836927,CEBU Lexmark 2F(EY GDS)Printer Procurement,Procurement,No,TPMO,N/A,No,Hardware Purchase,Cebu Office,No,Technical Project Management,No,"The request is for procuring a printer for EY.
The priority is set to Planned (P3) as it is a planned procurement request.
The responsible group for handling this ticket is the Cebu Office.",Yes,-,,
